source target weight
0 0 1.0
0 1 1.0
0 2 1.0
0 3 1.0
0 4 1.0
0 5 1.0
0 6 1.0
1 7 1.0
1 8 1.0
1 9 1.0
1 10 1.0
1 11 1.0
1 12 1.0
2 13 1.0
2 14 1.0
2 15 1.0
2 16 1.0
2 17 1.0
2 18 1.0
2 19 1.0
3 20 1.0
3 21 1.0
3 22 1.0
3 23 1.0
3 24 1.0
4 25 1.0
4 26 1.0
4 27 1.0
4 28 1.0
4 29 1.0
4 30 1.0
5 31 1.0
5 32 1.0
5 33 1.0
5 34 1.0
5 35 1.0
5 36 1.0
5 37 1.0
5 38 1.0
6 39 1.0
6 40 1.0
6 41 1.0
6 42 1.0
7 43 1.0
7 44 1.0
7 45 1.0
7 46 1.0
7 47 1.0
8 48 1.0
8 49 1.0
8 50 1.0
8 51 1.0
8 52 1.0
9 53 1.0
9 54 1.0
10 55 1.0
10 56 1.0
10 57 1.0
10 58 1.0
10 59 1.0
10 60 1.0
11 61 1.0
11 62 1.0
11 63 1.0
11 64 1.0
11 65 1.0
12 66 1.0
12 67 1.0
12 68 1.0
12 69 1.0
12 70 1.0
12 71 1.0
13 72 1.0
13 73 1.0
13 74 1.0
13 75 1.0
14 76 1.0
14 77 1.0
14 78 1.0
14 79 1.0
14 80 1.0
14 81 1.0
15 82 1.0
15 83 1.0
15 84 1.0
15 85 1.0
15 86 1.0
16 87 1.0
16 88 1.0
16 89 1.0
16 90 1.0
16 91 1.0
17 92 1.0
17 93 1.0
17 94 1.0
17 95 1.0
17 96 1.0
18 97 1.0
18 98 1.0
18 99 1.0
18 100 1.0
18 101 1.0
18 102 1.0
19 103 1.0
19 104 1.0
19 105 1.0
19 106 1.0
19 107 1.0
20 108 1.0
20 109 1.0
20 110 1.0
20 111 1.0
20 112 1.0
21 113 1.0
21 114 1.0
21 115 1.0
21 116 1.0
21 117 1.0
22 118 1.0
22 119 1.0
22 120 1.0
23 121 1.0
23 122 1.0
23 123 1.0
23 124 1.0
24 125 1.0
24 126 1.0
24 127 1.0
24 128 1.0
24 129 1.0
