source target length delay admittance
0 1 0.00014000000432133673 0.23090428632402984 24.24315496377468
2 2 4.0000001899898055e-05 0.1457728316241374 39.968037751220244
5 3 5.200000014156103e-05 0.12933881402931066 65.98109067810344
7 4 0.00028000000864267347 0.12607851908511017 90.18162538706659
9 5 1.609344 0.001 55.248615981845106
13 5 5.200000014156103e-05 0.130312187918415 46.861160519007576
11 6 4.399999976158142e-05 0.05879288593875996 74.93212485924356
10 7 3.199999919161201e-05 0.1477906900106746 77.97285966373579
14 7 3.199999919161201e-05 0.10116183070013932 77.370739063859
15 8 7.999999797903002e-06 0.05809339598993289 383.482493442847
12 10 3.199999919161201e-05 0.11757954128825074 89.05881565570039
17 10 2.400000113993883e-05 0.04917357801059057 108.46522649088348
20 10 2.79999990016222e-05 0.040447814337975806 121.50928355912566
18 12 1.609344 0.001 39.99999940363356
21 12 1.5999999595806004e-05 0.030303124690039686 216.5740361835009
8 13 9.200000204145908e-05 0.140930741696265 27.493077916735103
22 13 4.0000001899898055e-05 0.1485725338669246 39.968037751220244
23 14 1.5999999595806004e-05 0.08170992716522554 231.5584145774887
24 15 1.5999999595806004e-05 0.08192981558248268 231.5584145774887
25 16 1.609344 0.001 50.00000111696212
6 17 1.609344 0.07244532276292327 22.9729717460588
29 17 1.609344 0.07491084417988479 22.9729717460588
26 18 3.599999938160181e-05 0.04046482903308719 98.6191413835533
31 19 7.199999876320362e-05 0.08119674899018366 45.92522307122712
27 20 3.599999938160181e-05 0.058818129257895264 105.89869857663086
34 21 2.79999990016222e-05 0.058192188616630905 112.0136244304952
35 22 6.399999838322402e-05 0.2930661914395276 51.11029105217704
28 23 3.199999919161201e-05 0.06982641435848799 73.9443522442879
37 23 1.2000000569969416e-05 0.044819407765073684 169.27283589204418
3 24 2.79999990016222e-05 0.04377829321658799 121.50928355912566
39 25 5.200000014156103e-05 0.0705374494253052 57.64095541083143
30 26 1.609344 0.180406663530804 72.37072423605495
41 26 1.609344 0.16251382079590657 70.33712442965584
42 27 1.609344 0.001 55.48624343375016
43 28 3.199999919161201e-05 0.12245121799197929 71.31223598499585
44 28 2.400000113993883e-05 0.10181177954373816 103.96380532061846
4 29 1.609344 0.03577499116814374 69.93007030728343
19 31 8.799999952316284e-05 0.0923919662134709 28.515152009651892
32 32 1.609344 0.060913102584851414 36.75849537095807
33 33 0.00012799999676644803 0.20660311202653583 30.808925922911918
36 34 1.609344 0.05936807898997987 43.08904125139089
38 35 5.59999980032444e-05 0.1072482390105429 67.72077967431693
40 36 0.0001720000058412552 0.20648453760731839 21.010767514339847
45 37 0.0002280000038444996 0.32845476554764624 15.933872700420677
1 38 5.59999980032444e-05 0.14237170913549707 65.9423462425267
16 38 1.609344 0.0684873099830786 64.01844170281132
