source target weight
0 0 1.0
0 1 1.0
0 2 1.0
0 3 1.0
0 4 1.0
0 5 1.0
0 6 1.0
1 7 1.0
1 8 1.0
1 9 1.0
1 10 1.0
1 11 1.0
2 12 1.0
2 13 1.0
2 14 1.0
2 15 1.0
2 16 1.0
2 17 1.0
2 18 1.0
2 19 1.0
3 20 1.0
3 21 1.0
3 22 1.0
3 23 1.0
3 24 1.0
3 25 1.0
4 26 1.0
4 27 1.0
4 28 1.0
4 29 1.0
4 30 1.0
4 31 1.0
4 32 1.0
4 33 1.0
5 34 1.0
5 35 1.0
5 36 1.0
5 37 1.0
5 38 1.0
5 39 1.0
6 40 1.0
6 41 1.0
6 42 1.0
6 43 1.0
6 44 1.0
6 45 1.0
7 46 1.0
7 47 1.0
7 48 1.0
7 49 1.0
7 50 1.0
8 51 1.0
8 52 1.0
8 53 1.0
8 54 1.0
8 55 1.0
8 56 1.0
8 57 1.0
9 58 1.0
9 59 1.0
9 60 1.0
9 61 1.0
9 62 1.0
9 63 1.0
9 64 1.0
9 65 1.0
9 66 1.0
9 67 1.0
9 68 1.0
10 69 1.0
10 70 1.0
10 71 1.0
10 72 1.0
10 73 1.0
11 74 1.0
11 75 1.0
11 76 1.0
11 77 1.0
11 78 1.0
11 79 1.0
11 80 1.0
12 81 1.0
12 82 1.0
12 83 1.0
12 84 1.0
12 85 1.0
12 86 1.0
13 87 1.0
13 88 1.0
13 89 1.0
13 90 1.0
13 91 1.0
14 92 1.0
14 93 1.0
14 94 1.0
14 95 1.0
14 96 1.0
14 97 1.0
14 98 1.0
15 99 1.0
15 100 1.0
15 101 1.0
15 102 1.0
16 103 1.0
16 104 1.0
16 105 1.0
16 106 1.0
17 107 1.0
17 108 1.0
17 109 1.0
17 110 1.0
17 111 1.0
17 112 1.0
17 113 1.0
18 114 1.0
18 115 1.0
18 116 1.0
18 117 1.0
18 118 1.0
18 119 1.0
19 120 1.0
19 121 1.0
19 122 1.0
19 123 1.0
20 124 1.0
20 125 1.0
20 126 1.0
20 127 1.0
20 128 1.0
20 129 1.0
